City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
152,Harij,IN,2021-06-14 03:40:19,23.7,71.9,92.34,48,16,15.97
153,Lebu,CL,2021-06-14 03:40:19,-37.6167,-73.65,48.58,79,100,18.86
154,Ouesso,CG,2021-06-14 03:40:19,1.6136,16.0517,67.84,99,95,1.48
155,Mlowo,TZ,2021-06-14 03:40:20,-9.0,32.9833,48.94,83,72,2.77
156,Bandarbeyla,SO,2021-06-14 03:40:20,9.4942,50.8122,82.06,62,99,24.67
157,Lerwick,GB,2021-06-14 03:40:20,60.1545,-1.1494,50.0,89,57,21.39
158,Taltal,CL,2021-06-14 03:40:21,-25.4,-70.4833,57.04,85,41,1.32
159,Mut,TR,2021-06-14 03:40:21,36.6439,33.4389,70.97,43,0,3.65
160,Kamenka,RU,2021-06-14 03:40:21,51.3223,42.7678,65.46,81,10,5.14
161,Yendi,GH,2021-06-14 03:40:21,9.4427,-0.0099,77.29,77,18,6.98
162,Maceio,BR,2021-06-14 03:40:22,-9.6658,-35.7353,72.84,94,20,4.61
163,Port Harcourt,NG,2021-06-14 03:40:22,4.7774,7.0134,77.18,91,75,1.72
164,Santa Fe,AR,2021-06-14 03:40:22,-31.6333,-60.7,57.0,88,0,1.01
165,Bytow,PL,2021-06-14 03:40:23,54.1706,17.4919,53.51,89,10,5.06
166,Chagoda,RU,2021-06-14 03:40:23,59.164,35.3285,60.37,87,100,6.91
167,Novouzensk,RU,2021-06-14 03:40:23,50.4592,48.1431,70.41,74,100,8.7
168,Derzhavinsk,KZ,2021-06-14 03:40:23,51.1,66.3167,75.54,40,6,8.59
169,Bulembu,SZ,2021-06-14 03:40:24,-25.9667,31.1333,52.75,43,9,5.28
170,Benavente,ES,2021-06-14 03:40:24,42.0025,-5.6783,61.97,81,1,4.32
171,Usinsk,RU,2021-06-14 03:40:24,65.9939,57.5281,66.27,64,93,12.1
172,Thinadhoo,MV,2021-06-14 03:40:25,0.5333,72.9333,82.51,73,91,7.85
173,Maridi,SS,2021-06-14 03:40:25,4.9158,29.4742,64.92,98,100,5.44
174,Saldanha,ZA,2021-06-14 03:40:25,-33.0117,17.9442,42.85,84,45,6.08
175,Vetluzhskiy,RU,2021-06-14 03:40:25,58.3902,45.4654,64.42,87,26,4.83
176,Adrar,MR,2021-06-14 03:40:26,20.5022,-10.0711,94.21,10,95,20.04
177,Richards Bay,ZA,2021-06-14 03:35:45,-28.783,32.0377,65.44,41,0,4.88
178,Los Llanos De Aridane,ES,2021-06-14 03:40:26,28.6585,-17.9182,65.95,88,0,14.97
179,Abalak,RU,2021-06-14 03:40:27,58.1286,68.5944,74.86,43,72,6.87
180,Aromashevo,RU,2021-06-14 03:40:27,56.8602,68.6375,73.02,56,26,6.64
181,Oriximina,BR,2021-06-14 03:40:27,-1.7656,-55.8661,75.69,80,38,2.84
182,Maniitsoq,GL,2021-06-14 03:40:27,65.4167,-52.9,37.53,77,45,7.09
183,Barranca,PE,2021-06-14 03:40:28,-10.75,-77.7667,64.15,84,3,6.62
