City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
171,Odweyne,SO,89.13,overcast clouds,9.4092,45.064,Eng Hiirey House
174,Mwense,ZM,85.15,broken clouds,-10.3845,28.698,Mwense Council Guest House
177,Sayyan,YE,79.86,overcast clouds,15.1718,44.3244,متنزه و بحيرة سيان
183,Veraval,IN,87.1,clear sky,20.9,70.3667,Lords Inn Somnath
184,Antalaha,MG,78.33,few clouds,-14.9003,50.2788,Hotel Vitasoa
186,Victoria,HK,87.33,broken clouds,22.2855,114.1577,Mini Hotel Central
189,Niksar,TR,77.22,few clouds,40.5917,36.9517,Nuri Park Hotel
190,Jeremie,HT,80.83,overcast clouds,18.65,-74.1167,Auberge’Inn
191,Santa Flavia,IT,87.24,clear sky,38.085,13.5351,La Caletta
192,Peniche,PT,83.73,few clouds,39.3558,-9.3811,Hotel Star inn Peniche
193,Mayumba,GA,80.47,overcast clouds,-3.432,10.6554,LIKWALE LODGE
196,Loum,CM,87.55,light rain,4.7182,9.7351,Hotel Guy Wambo
198,Winsum,NL,79.99,few clouds,53.33,6.5208,Tuinhuis
200,Chateauroux,FR,84.2,clear sky,46.8167,1.7,Hôtel Kyriad Chateauroux
205,Santa Rosa,PH,85.1,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
206,Barao De Melgaco,BR,76.06,clear sky,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
208,Muli,MV,83.39,broken clouds,2.9167,73.5667,Medhufushi Island Resort
211,Maues,BR,79.25,overcast clouds,-3.3836,-57.7186,Hotel Miramar
213,Panormos,GR,76.86,clear sky,35.4182,24.6909,Kirki Village Ξενοδοχείο
214,Mumford,GH,84.78,broken clouds,5.2618,-0.759,Spanish Villa
216,Sao Felix Do Xingu,BR,80.29,clear sky,-6.6447,-51.995,Rio Xingu Camping
217,Shirdi,IN,89.76,overcast clouds,19.7667,74.4833,Shradha Saburi Palace
218,Hargeysa,SO,89.04,overcast clouds,9.56,44.065,City Center Hotel
221,Sudzha,RU,76.3,broken clouds,51.1976,35.2726,Gorodskoy Plyazh
223,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
225,Mahibadhoo,MV,83.03,broken clouds,3.7833,72.9667,Omadhoo Inn
226,George Town,MY,85.98,moderate rain,5.4112,100.3354,Cititel Penang
240,Bayburt,TR,76.73,clear sky,40.2589,40.2278,Bayburt Otel Konaklama
247,Itarema,BR,81.77,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
248,Bahia Honda,CU,76.6,overcast clouds,22.9036,-83.1592,Casa Gualberto - Deysi
250,Hobyo,SO,82.65,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
256,Hohr-Grenzhausen,DE,82.44,clear sky,50.4333,7.6667,Hotel Zugbrücke Grenzau
258,Dulce Nombre De Culmi,HN,79.03,overcast clouds,15.1,-85.5333,Hotel Posada Real
261,Bereda,ES,81.14,few clouds,43.2686,-7.5406,Pazo de Verdes
262,Mahon,ES,82.96,few clouds,39.8885,4.2658,ARTIEM Capri
