City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
149,Boueni,YT,-12.9025,45.0761,82.38,70,41,16.26,scattered clouds
150,Thinadhoo,MV,0.5333,72.9333,83.46,72,84,8.37,broken clouds
151,Upernavik,GL,72.7868,-56.1549,34.32,84,100,5.48,overcast clouds
152,Raudeberg,NO,61.9875,5.1352,53.38,87,100,19.39,overcast clouds
153,Souillac,MU,-20.5167,57.5167,77.38,73,40,12.66,scattered clouds
154,Berlevag,NO,70.8578,29.0864,51.6,66,65,15.68,broken clouds
155,Ostrovnoy,RU,68.0531,39.5131,60.28,47,78,6.96,broken clouds
156,Touros,BR,-5.1989,-35.4608,82.27,66,42,10.47,scattered clouds
157,Tambura,SS,5.6,27.4667,89.49,44,96,6.35,overcast clouds
158,Sao Luis Do Quitunde,BR,-9.3183,-35.5611,72.84,81,73,6.55,broken clouds
159,Bongandanga,CD,1.5,21.05,95.79,34,100,1.83,overcast clouds
160,Paysandu,UY,-32.3214,-58.0756,52.61,83,3,4.92,clear sky
161,Atar,MR,20.5169,-13.0499,106.99,9,14,26.96,few clouds
162,Jizan,SA,17.3333,42.6667,99.54,25,55,20.51,broken clouds
163,Cuamba,MZ,-14.8031,36.5372,79.97,32,5,7.27,clear sky
164,Mogadishu,SO,2.0371,45.3438,84.07,61,20,17.27,few clouds
165,Bismil,TR,37.8486,40.6658,96.91,12,0,14.72,clear sky
166,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,66,8,4.79,clear sky
167,Rusape,ZW,-18.5278,32.1284,70.93,24,0,6.31,clear sky
168,Roald,NO,62.5833,6.1333,57.11,82,75,16.11,light intensity drizzle
169,Sao Miguel,BR,-5.4667,-35.3667,79.12,69,32,11.48,scattered clouds
170,Abha,SA,18.2164,42.5053,85.82,5,31,17.27,dust
171,Odweyne,SO,9.4092,45.064,89.13,26,100,18.19,overcast clouds
172,Rio Brilhante,BR,-21.8019,-54.5464,61.9,63,0,5.64,clear sky
173,Blagoyevo,RU,63.3667,47.9167,78.76,39,62,10.69,broken clouds
174,Mwense,ZM,-10.3845,28.698,85.15,19,73,3.51,broken clouds
175,Abu Kamal,SY,34.4506,40.9171,101.05,10,0,2.95,clear sky
176,Olinda,BR,-8.0089,-34.8553,74.93,78,75,9.22,broken clouds
177,Sayyan,YE,15.1718,44.3244,79.86,7,92,10.27,overcast clouds
178,Lima,PE,-12.0432,-77.0282,61.05,82,40,6.91,scattered clouds
179,Annau,TM,37.8876,58.516,94.5,28,75,13.8,broken clouds
180,Falmouth,GB,50.1544,-5.0711,71.78,92,75,5.01,haze
181,Port Hawkesbury,CA,45.6169,-61.3485,55.9,74,1,4.0,clear sky
182,Constanta,RO,44.1833,28.65,70.7,52,32,15.35,scattered clouds
183,Veraval,IN,20.9,70.3667,87.1,73,4,16.71,clear sky
184,Antalaha,MG,-14.9003,50.2788,78.33,71,16,6.15,few clouds
185,Lyuban,BY,52.7985,28.0048,66.2,74,98,4.7,overcast clouds
186,Victoria,HK,22.2855,114.1577,87.33,81,63,1.01,broken clouds
187,Kruisfontein,ZA,-34.0033,24.7314,67.89,50,54,6.91,broken clouds
188,Losal,IN,27.4,74.9167,94.35,36,58,8.5,broken clouds
189,Niksar,TR,40.5917,36.9517,77.22,61,15,11.07,few clouds
190,Jeremie,HT,18.65,-74.1167,80.83,73,93,1.92,overcast clouds
191,Santa Flavia,IT,38.085,13.5351,87.24,36,0,5.99,clear sky
192,Peniche,PT,39.3558,-9.3811,83.73,73,11,7.02,few clouds
193,Mayumba,GA,-3.432,10.6554,80.47,75,100,8.66,overcast clouds
194,San Cristobal,VE,7.7669,-72.225,73.58,84,99,3.76,overcast clouds
195,Kosh-Agach,RU,50.0,88.6667,55.26,41,85,10.0,overcast clouds
196,Loum,CM,4.7182,9.7351,87.55,61,94,6.11,light rain
197,Leh,IN,34.1667,77.5833,61.45,25,88,7.45,overcast clouds
198,Winsum,NL,53.33,6.5208,79.99,63,17,12.82,few clouds
